我是山姆,2001,9.0,263538
头号玩家,2018,8.7,1146891
电锯惊魂,2004,8.7,431163
风之谷,1984,8.9,309112
上帝之城,2002,9.0,257895
英雄本色,1986,8.7,431788
卢旺达饭店,2004,8.9,261206
三块广告牌,2017,8.7,690963
疯狂原始人,2013,8.7,718148
谍影重重3,2007,8.8,354573
新世界,2013,8.9,305834
花样年华,2000,8.7,480791
模仿游戏,2014,8.7,511052
黑客帝国3：矩阵革命,2003,8.8,357711
纵横四海,1991,8.8,342194
达拉斯买家俱乐部,2013,8.8,373619
头脑特工队,2015,8.7,493221
岁月神偷,2010,8.7,506024
心迷宫,2014,8.7,414284
你的名字。,2016,8.4,1147256
寄生虫,2019,8.8,1136702
记忆碎片,2000,8.7,512742
忠犬八公物语,1987,9.2,158969
荒蛮故事,2014,8.8,358506
海街日记,2015,8.8,353075
爆裂鼓手,2014,8.7,470687
惊魂记,1960,9.0,213379
真爱至上,2003,8.6,604854
贫民窟的百万富翁,2008,8.6,635327
东邪西毒,1994,8.6,491796
哈利·波特与火焰杯,2005,8.7,471636
萤火虫之墓,1988,8.7,354802
小偷家族,2018,8.7,691589
黑天鹅,2010,8.6,691684
绿里奇迹,1999,8.9,252541
无敌破坏王,2012,8.7,441587
你看起来好像很好吃,2010,8.9,282482
冰川时代,2002,8.6,519439
爱在午夜降临前,2013,8.8,295823
九品芝麻官,1994,8.6,507991
雨人,1988,8.7,345209
疯狂的石头,2006,8.5,670528
恋恋笔记本,2004,8.5,547074
恐怖游轮,2009,8.5,662309
雨中曲,1952,9.1,172978
魔女宅急便,1989,8.7,382185
色，戒,2007,8.5,587015
奇迹男孩,2017,8.6,477036
2001太空漫游,1968,8.8,246565
虎口脱险,1966,8.9,200986
海边的曼彻斯特,2016,8.6,403063
人工智能,2001,8.7,366230
可可西里,2004,8.8,247159
城市之光,1931,9.3,112500
房间,2015,8.8,323568
初恋这件小事,2010,8.4,853257
罗生门,1950,8.8,255360
二十二,2015,8.7,244106
终结者2：审判日,1991,8.7,289941
大佛普拉斯,2017,8.7,346141
遗愿清单,2007,8.7,336575
牯岭街少年杀人事件,1991,8.9,218146
波西米亚狂想曲,2018,8.7,483615
源代码,2011,8.5,687410
魂断蓝桥,1940,8.8,230818
新龙门客栈,1992,8.6,367606
青蛇,1993,8.6,427461
疯狂的麦克斯4：狂暴之路,2015,8.6,434498
无耻混蛋,2009,8.6,395938
步履不停,2008,8.8,224406
血钻,2006,8.7,305698
东京教父,2003,9.0,153569
燃情岁月,1994,8.8,243837
无间道2,2003,8.6,352708
海洋,2009,9.1,141024
彗星来的那一夜,2013,8.5,438241
谍影重重2,2004,8.7,297217
穿越时空的少女,2006,8.6,328802
战争之王,2005,8.7,295621
阿飞正传,1990,8.5,416188
地球上的星星,2007,8.9,174672
完美陌生人,2016,8.5,454616
谍影重重,2002,8.6,355315
千钧一发,1997,8.8,221219
东京物语,1953,9.2,111736
香水,2006,8.5,468552
黑客帝国2：重装上阵,2003,8.6,317112
崖上的波妞,2008,8.6,387355
我爱你,2011,9.1,136899
再次出发之纽约遇见你,2013,8.6,354385
朗读者,2008,8.6,400261
驴得水,2016,8.3,772486
聚焦,2015,8.8,236390
浪潮,2008,8.7,230174
猜火车,1996,8.5,366158
茶馆,1982,9.5,71991
小萝莉的猴神大叔,2015,8.4,416202
爱乐之城,2016,8.4,685352
追随,1998,8.9,153517
